"frog_number","sex","age","species","date","collection_site","town","notes","water_temperature_celcius","water_p_h","time","location_notes","extracted","pcr_result","chytrid","x16","x17","x18","x19","x20","x21","x22","x23","x24","x25","x26"
8,"Male","Adult","Green frog","8/25/19","Marsh Pond","Chichester","Blood on thighs, red feet, very strong","25","N/A",13:30:00,"Manmade and Natural waterbody (combo)","Y","positive","y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,"Female","Young Adult","Pickerel Frog","8/25/19","Marsh Pond","Chichester","N/A","25","N/A",13:30:00,"manmade and Natural waterbody (combo)","Y","negative","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,"Unknown","Young Adult","Pickerel Frog","8/25/19","Marsh Pond","Chichester","Dark Spots on Chest","25","N/A",13:30:00,"manmade and Natural waterbody (combo)","Y","positive","y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,"Female","Adult","Green Frog","10/7/19","Melissa Drive","Pembroke","Healthy","17.222","N/A",21:00:00,"Rainy Night/Amphibian Migration Night","Y","negative","y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"Unknown","Adult","Spring Peeper","10/7/19","Melissa Drive","Pembroke","Healthy","17.222","N/A",21:00:00,"Rainy Night/Amphibian Migration Night","Y","negative","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,"Unknown","Adult","Spring Peeper","10/7/19","Melissa Drive","Pembroke","Healthy","17.222","N/A",21:00:00,"Rainy Night/Amphibian Migration Night","Y","negative","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Female?","Adult","Woodfrog","10/7/19","Melissa Drive","Pembroke","Healthy","17.222","N/A",21:00:00,"Rainy Night/Amphibian Migration Night","Y","negative","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,"Unknown","Adult","Woodfrog","10/7/19","Melissa Drive","Pembroke","Healthy","17.222","N/A",21:00:00,"Rainy Night/Amphibian Migration Night","Y","negative","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,"Unknown","Adult","Woodfrog","10/7/19","Melissa Drive","Pembroke","Had excess fluid around mouth, salivating? mouth swollen - likely jaw/mouth injury","17.222","N/A",21:00:00,"Rainy Night/Amphibian Migration Night","Y","positive","y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"Female","Adult","Bullfrog","9/2/19","PA Pond","Pembroke","Calm, healthy","15.556","N/A",17:45:00,"Note - rainy day","Y","positive, faint band","y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,"Female","Adult","Bullfrog","9/2/19","PA Pond","Pembroke","Healthy, large frog","15.556","N/A",18:00:00,"Note - rainy day","Y","positive, faint band","y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"Female","Adult","Bullfrog","9/2/19","PA Pond","Pembroke","lethargic, sloughing a lot of skin","15.556","N/A",18:00:00,"Note - rainy day","Y","Negative","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
164,"Female","Adult","Bullfrog","9/6/19","PA Pond","Pembroke","None","20","N/A",18:00:00,"Nighttime/after dark frogging","Y","positive, faint band","y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
171,"Female","Young Adult","Bullfrog","9/6/19","PA Pond","Pembroke","on skinnier side for frog of its size","20","N/A",18:00:00,"nighttime/after dark frogging","Y","positive, faint band","y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
172,"Female","Adult","Bullfrog","9/6/19","PA Pond","Pembroke","skinny frog","20","N/A",18:00:00,"nighttime/after dark frogging","Y","positive, faint band","y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Female","Adult","Bullfrog","9/6/19","PA Pond","Pembroke","None","20","N/A",18:00:00,"nighttime/after dark frogging","Y","positive, faint band","y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"Female","Young Adult","Green frog","9/2/19","PA Pond","Pembroke","Healthy, tired","15.556","N/A",18:00:00,"Note - rainy day","Y","Negative","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
168,"Female","Adult","Green frog","9/6/19","PA Pond","Pembroke","None","20","N/A",18:00:00,"nighttime/after dark frogging","Y","Negative","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,"Female","Adult","Green frog","9/6/19","PA Pond","Pembroke","None","20","N/A",18:00:00,"nighttime/after dark frogging","Y","Negative","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
174,"Female","Adult","Greenfrog","9/6/19","PA Pond","Pembroke","appeared slimer than a frog its size should have been","20","N/A",18:00:00,"nighttime/after dark frogging","Y","positive, faint band","y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
